date,name,point,rank
20220101,코다,9.24,0
20220101,스파이더맨: 노 웨이 홈,8.97,1
20220101,러브 액츄얼리,8.93,2
20220101,아멜리에,8.81,3
20220101,고양이를 부탁해,8.81,4
20220101,공각기동대,8.73,5
20220101,돈 룩 업,8.68,6
20220101,태일이,8.49,7
20220101,엔칸토: 마법의 세계,8.31,8
20220101,연애 빠진 로맨스,8.30,9
20220101,킹스맨: 퍼스트 에이전트,8.17,10
20220101,프렌치 디스패치,8.02,11
20220101,라스트 나잇 인 소호,7.84,12
20220101,유체이탈자,7.59,13
20220101,디어 에반 핸슨,7.50,14
20220101,해피 뉴 이어,7.21,15
20220101,베놈 2: 렛 데어 비 카니지,6.11,16
20220101,이터널스,5.57,17
20220101,매트릭스: 리저렉션,5.57,18
20220102,코다,9.24,0
20220102,스파이더맨: 노 웨이 홈,8.96,1
20220102,러브 액츄얼리,8.93,2
20220102,아멜리에,8.81,3
20220102,공각기동대,8.73,4
20220102,돈 룩 업,8.68,5
20220102,태일이,8.50,6
20220102,엔칸토: 마법의 세계,8.30,7
20220102,연애 빠진 로맨스,8.30,8
20220102,킹스맨: 퍼스트 에이전트,8.16,9
20220102,프렌치 디스패치,8.02,10
20220102,라스트 나잇 인 소호,7.84,11
20220102,유체이탈자,7.58,12
20220102,디어 에반 핸슨,7.50,13
20220102,해피 뉴 이어,7.14,14
20220102,베놈 2: 렛 데어 비 카니지,6.11,15
20220102,이터널스,5.57,16
20220102,매트릭스: 리저렉션,5.54,17
20220103,코다,9.24,0
20220103,스파이더맨: 노 웨이 홈,8.95,1
20220103,러브 액츄얼리,8.93,2
20220103,아멜리에,8.81,3
20220103,고양이를 부탁해,8.81,4
20220103,공각기동대,8.73,5
20220103,돈 룩 업,8.69,6
20220103,태일이,8.48,7
20220103,엔칸토: 마법의 세계,8.30,8
20220103,연애 빠진 로맨스,8.30,9
20220103,킹스맨: 퍼스트 에이전트,8.14,10
20220103,프렌치 디스패치,8.01,11
20220103,라스트 나잇 인 소호,7.84,12
20220103,유체이탈자,7.58,13
20220103,디어 에반 핸슨,7.49,14
20220103,해피 뉴 이어,7.11,15
20220103,베놈 2: 렛 데어 비 카니지,6.11,16
20220103,이터널스,5.57,17
20220103,매트릭스: 리저렉션,5.53,18
20220104,코다,9.23,0
20220104,스파이더맨: 노 웨이 홈,8.95,1
20220104,러브 액츄얼리,8.93,2
20220104,아멜리에,8.81,3
20220104,고양이를 부탁해,8.81,4
20220104,공각기동대,8.73,5
20220104,돈 룩 업,8.68,6
20220104,태일이,8.49,7
20220104,연애 빠진 로맨스,8.30,8
20220104,엔칸토: 마법의 세계,8.29,9
20220104,킹스맨: 퍼스트 에이전트,8.13,10
20220104,프렌치 디스패치,8.01,11
20220104,라스트 나잇 인 소호,7.85,12
20220104,아웃레이지,7.84,13
20220104,유체이탈자,7.58,14
20220104,해피 뉴 이어,7.08,15
20220104,베놈 2: 렛 데어 비 카니지,6.11,16
20220104,이터널스,5.57,17
