Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
51300.0,51500.0,49100.0,49500.0,43264.8828125,20498098,0.0,0.0
50400.0,50800.0,49850.0,50700.0,44313.72265625,63491109,0.0,0.0
50500.0,51700.0,49950.0,51300.0,44838.14453125,13038499,0.0,0.0
50800.0,51200.0,50700.0,51100.0,44663.3359375,9767171,0.0,0.0
51100.0,51400.0,50400.0,51300.0,44838.14453125,9144100,0.0,0.0
51800.0,51800.0,50500.0,50600.0,44226.3125,13590016,0.0,0.0
50200.0,50400.0,49600.0,49650.0,43395.984375,16951706,0.0,0.0
49750.0,50300.0,49350.0,49900.0,43614.48828125,10571312,0.0,0.0
49700.0,49800.0,49250.0,49400.0,43177.47265625,12110569,0.0,0.0
49000.0,49000.0,48200.0,48200.0,42128.625,20971729,0.0,0.0
48500.0,48700.0,47650.0,47650.0,41647.91015625,17080892,0.0,0.0
47600.0,47650.0,46200.0,46600.0,40730.16015625,16661870,0.0,0.0
47200.0,47350.0,46500.0,47000.0,41079.78125,15217971,0.0,0.0
47450.0,47600.0,46850.0,47000.0,41079.78125,12959316,0.0,0.0
47900.0,47900.0,47050.0,47050.0,41123.48046875,10015541,0.0,0.0
47000.0,47250.0,46200.0,47250.0,41298.296875,10298006,0.0,0.0
47050.0,47050.0,46150.0,46650.0,40773.87109375,10587711,0.0,0.0
45900.0,47300.0,45900.0,47000.0,41079.78125,11223166,0.0,0.0
47450.0,48500.0,47000.0,47950.0,41910.12109375,15274752,0.0,0.0
46850.0,47150.0,46600.0,46800.0,41209.21484375,12784800,354.0,0.0
46250.0,47150.0,46200.0,46650.0,41077.12890625,14099635,0.0,0.0
46500.0,47150.0,45500.0,45550.0,40108.53125,13112253,0.0,0.0
45750.0,46450.0,45750.0,46150.0,40636.85546875,10959655,0.0,0.0
46700.0,47050.0,46050.0,46250.0,40724.9140625,8776763,0.0,0.0
46100.0,46550.0,45600.0,45950.0,40460.74609375,7039773,0.0,0.0
45500.0,45850.0,44650.0,44900.0,39536.19140625,17843706,0.0,0.0
45500.0,46100.0,45200.0,45600.0,40152.5625,11602464,0.0,0.0
46200.0,46550.0,46100.0,46300.0,40768.9375,10528665,0.0,0.0
46400.0,46450.0,45400.0,46000.0,40504.78125,11224077,0.0,0.0
45900.0,46250.0,45450.0,45500.0,40064.5078125,11828104,0.0,0.0
45800.0,46500.0,45750.0,46500.0,40945.0546875,11543389,0.0,0.0
46800.0,46800.0,46000.0,46050.0,40548.8046875,7678719,0.0,0.0
46150.0,46200.0,45600.0,45850.0,40372.69921875,8892953,0.0,0.0
46700.0,47200.0,46450.0,46550.0,40989.06640625,10952645,0.0,0.0
47050.0,47200.0,46600.0,46900.0,41297.26171875,9880128,0.0,0.0
47000.0,47600.0,46700.0,47450.0,41781.56640625,10474547,0.0,0.0
47100.0,47200.0,46150.0,46500.0,40945.0546875,10823782,0.0,0.0
46350.0,46600.0,45950.0,46150.0,40636.85546875,8261363,0.0,0.0
46250.0,46550.0,45900.0,46150.0,40636.85546875,7222471,0.0,0.0
46100.0,47000.0,46000.0,46900.0,41297.26171875,7374946,0.0,0.0
46450.0,47000.0,46450.0,46900.0,41297.26171875,4762460,0.0,0.0
46550.0,46800.0,46350.0,46500.0,40945.0546875,5723035,0.0,0.0
46200.0,46450.0,46000.0,46250.0,40724.9140625,8033607,0.0,0.0
46050.0,46850.0,46050.0,46550.0,40989.06640625,7484499,0.0,0.0
46550.0,46800.0,45500.0,45550.0,40108.53125,8560924,0.0,0.0
45850.0,45900.0,45450.0,45750.0,40284.63671875,8274944,0.0,0.0
46150.0,46150.0,45750.0,45800.0,40328.671875,6771979,0.0,0.0
