date,name,point,rank
20200101,포드 V 페라리,9.57,0
20200101,주전장,9.53,1
20200101,눈의 여왕4,9.32,2
20200101,러브 앳,9.27,3
20200101,교회오빠,9.27,4
20200101,"나, 다니엘 블레이크",9.27,5
20200101,피아니스트의 전설,9.24,6
20200101,나이브스 아웃,9.14,7
20200101,러브레터,9.11,8
20200101,결혼 이야기,9.10,9
20200101,윤희에게,8.95,10
20200101,러브 액츄얼리,8.94,11
20200101,인비저블 게스트,8.92,12
20200101,미드웨이,8.90,13
20200101,벌새,8.88,14
20200101,아이리시맨,8.88,15
20200101,천문: 하늘에 묻는다,8.86,16
20200101,일일시호일,8.85,17
20200101,겨울왕국 2,8.71,18
20200101,터미네이터: 다크 페이트,8.62,19
20200101,신비아파트 극장판 하늘도깨비 대 요르문간드,8.56,20
20200101,더 킹: 헨리 5세,8.49,21
20200101,기생충,8.49,22
20200101,보리밭을 흔드는 바람,8.46,23
20200101,메기,8.27,24
20200101,시동,7.95,25
20200101,날씨의 아이,7.89,26
20200101,더 포리너,7.66,27
20200101,감쪽같은 그녀,7.52,28
20200101,멀홀랜드 드라이브,7.51,29
20200101,라스트 크리스마스,6.74,30
20200101,82년생 김지영,6.69,31
20200101,삽질,6.50,32
20200101,대통령의 7시간,6.15,33
20200101,쥬만지: 넥스트 레벨,6.12,34
20200101,백두산,5.95,35
20200101,아내를 죽였다,5.17,36
20200101,캣츠,4.67,37
20200102,포드 V 페라리,9.56,0
20200102,주전장,9.53,1
20200102,두 교황,9.36,2
20200102,눈의 여왕4,9.28,3
20200102,러브 앳,9.27,4
20200102,교회오빠,9.27,5
20200102,"나, 다니엘 블레이크",9.27,6
20200102,피아니스트의 전설,9.25,7
20200102,나이브스 아웃,9.14,8
20200102,러브레터,9.11,9
20200102,결혼 이야기,9.10,10
20200102,윤희에게,8.96,11
20200102,러브 액츄얼리,8.94,12
20200102,인비저블 게스트,8.92,13
20200102,미드웨이,8.89,14
20200102,벌새,8.88,15
20200102,아이리시맨,8.88,16
20200102,천문: 하늘에 묻는다,8.86,17
20200102,일일시호일,8.85,18
20200102,겨울왕국 2,8.71,19
20200102,신비아파트 극장판 하늘도깨비 대 요르문간드,8.56,20
20200102,더 킹: 헨리 5세,8.50,21
20200102,기생충,8.49,22
20200102,보리밭을 흔드는 바람,8.46,23
20200102,메기,8.27,24
20200102,시동,7.93,25
20200102,날씨의 아이,7.89,26
20200102,더 포리너,7.66,27
20200102,멀홀랜드 드라이브,7.51,28
20200102,라스트 크리스마스,6.74,29
20200102,82년생 김지영,6.69,30
20200102,삽질,6.50,31
20200102,쥬만지: 넥스트 레벨,6.12,32
20200102,대통령의 7시간,6.11,33
20200102,백두산,5.95,34
20200102,아내를 죽였다,5.14,35
20200102,캣츠,4.67,36
20200103,포드 V 페라리,9.56,0
20200103,주전장,9.53,1
20200103,두 교황,9.34,2
20200103,눈의 여왕4,9.28,3
20200103,러브 앳,9.27,4
20200103,교회오빠,9.27,5
20200103,"나, 다니엘 블레이크",9.27,6
20200103,피아니스트의 전설,9.25,7
20200103,나이브스 아웃,9.14,8
20200103,러브레터,9.11,9
20200103,결혼 이야기,9.09,10
20200103,윤희에게,8.95,11
20200103,러브 액츄얼리,8.94,12
20200103,인비저블 게스트,8.92,13
20200103,미드웨이,8.90,14
20200103,벌새,8.88,15
20200103,아이리시맨,8.88,16
20200103,천문: 하늘에 묻는다,8.86,17
20200103,일일시호일,8.85,18
